check,check_level,check_status,constraint,constraint_status,constraint_message
Review Check,Warning,Success,"UniquenessConstraint(Uniqueness(List(ProductID),None))",Success,""
Review Check,Warning,Success,"UniquenessConstraint(Uniqueness(List(Name),None))",Success,""
Review Check,Warning,Success,"UniquenessConstraint(Uniqueness(List(ProductNumber),None))",Success,""
Review Check,Warning,Success,"CompletenessConstraint(Completeness(Name,None))",Success,""
Review Check,Warning,Success,"CompletenessConstraint(Completeness(ProductNumber,None))",Success,""
Review Check,Warning,Success,"CompletenessConstraint(Completeness(ListPrice,None))",Success,""
Review Check,Warning,Success,"CompletenessConstraint(Completeness(StandardCost,None))",Success,""
Review Check,Warning,Success,"CompletenessConstraint(Completeness(FinishedGoodsFlag,None))",Success,""
Review Check,Warning,Success,"CompletenessConstraint(Completeness(ModifiedDate,None))",Success,""
Review Check,Warning,Success,"CompletenessConstraint(Completeness(SellStartDate,None))",Success,""
Review Check,Warning,Success,"ComplianceConstraint(Compliance(Color contained in Black,Silver,Red,Yellow,Blue,Multi,Silver/Black,White,Grey,`Color` IS NULL OR `Color` IN ('Black','Silver','Red','Yellow','Blue','Multi','Silver/Black','White','Grey'),None))",Success,""
Review Check,Warning,Success,"ComplianceConstraint(Compliance(Class contained in L ,H ,M ,`Class` IS NULL OR `Class` IN ('L ','H ','M '),None))",Success,""
Review Check,Warning,Success,"ComplianceConstraint(Compliance(Style contained in U ,W ,M ,`Style` IS NULL OR `Style` IN ('U ','W ','M '),None))",Success,""
Review Check,Warning,Success,"ComplianceConstraint(Compliance(ProductLine contained in R ,M ,T ,S ,`ProductLine` IS NULL OR `ProductLine` IN ('R ','M ','T ','S '),None))",Success,""
Review Check,Warning,Success,"ComplianceConstraint(Compliance(WeightUnitMeasureCode contained in LB ,G  ,`WeightUnitMeasureCode` IS NULL OR `WeightUnitMeasureCode` IN ('LB ','G  '),None))",Success,""
Review Check,Warning,Success,"CompletenessConstraint(Completeness(Size,None))",Success,""
Review Check,Warning,Success,"ComplianceConstraint(Compliance(ProductModelID is non-negative,COALESCE(CAST(ProductModelID AS DECIMAL(20,10)), 0.0) >= 0,None))",Success,""
Review Check,Warning,Success,"ComplianceConstraint(Compliance(ProductSubcategoryID is non-negative,COALESCE(CAST(ProductSubcategoryID AS DECIMAL(20,10)), 0.0) >= 0,None))",Success,""
Review Check,Warning,Success,"ComplianceConstraint(Compliance(Weight is non-negative,COALESCE(CAST(Weight AS DECIMAL(20,10)), 0.0) >= 0,None))",Success,""
Review Check,Warning,Success,"ComplianceConstraint(Compliance(StandardCost is non-negative,COALESCE(CAST(StandardCost AS DECIMAL(20,10)), 0.0) >= 0,None))",Success,""
Review Check,Warning,Success,"ComplianceConstraint(Compliance(ListPrice is non-negative,COALESCE(CAST(ListPrice AS DECIMAL(20,10)), 0.0) >= 0,None))",Success,""
